Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Anthony Tolliver (11695564),Anthony Tolliver,11695564,SF/PF/F/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,12.62
SF,Keita Bates-Diop (11695568),Keita Bates-Diop,11695568,SF/F/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,4.88
PG,Jared Terrell (11695571),Jared Terrell,11695571,PG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,12.25
PG,Tyler Ulis (11695574),Tyler Ulis,11695574,PG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
C,Cristiano Felicio (11695577),Cristiano Felicio,11695577,C/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,10.08
PG,Rawle Alkins (11695579),Rawle Alkins,11695579,PG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
SG/SF,Denzel Valentine (11695582),Denzel Valentine,11695582,SG/SF/F/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
C,Robin Lopez (11695587),Robin Lopez,11695587,C/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,CHI,9.92
SG,Troy Williams (11695589),Troy Williams,11695589,SG/G/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,13.53
PF/C,Skal Labissiere (11695592),Skal Labissiere,11695592,PF/C/F/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,5.42
PF,Harry Giles (11695596),Harry Giles,11695596,PF/F/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,9.79
